symbol,overall_rating,confidence,macd_score,adx_score,ma_cross_score,ao_score,rsi_score,cci_score,williams_r_score,swing_index_score,confidence_score
BTC,41.55398629980162,70.2,0.0,64.36127481035973,70.0,70.0,34.317838229912454,14.229443645703762,14.660984480266341,64.86234923217071,70.2
ETH,41.811094859804975,68.5,0.0,66.76827917172474,77.22850000000108,58.05525,35.23151220656136,12.142754452107669,17.215734078079095,67.84672896996585,68.5
USDT,38.439039394154214,72.0,49.96854816865577,54.74056900007666,49.998913538982876,49.99934803316887,8.12464030296784,29.696344572152256,14.983951537229458,50.0,72.0
BNB,46.572440432050904,62.8,0.0,54.14466241654668,61.74019999999973,70.53808823529411,47.69638024691371,34.00097819496294,31.072123422530858,73.38709094015917,62.8
XRP,37.5318066182246,54.4,14.788831497949891,64.45825211750075,50.680056,50.021304117647055,29.79166955636472,8.621674265597225,10.501298701298802,71.39136668943839,54.4
USDC,60.3860956828134,59.4,50.14025810978144,33.617683573403625,49.9990215,50.00025958088236,77.00415999051765,90.42271628758917,76.48809523810317,55.4165711822298,59.4
SOL,40.60093159850101,66.4,0.0,68.5251105087348,71.91279999999998,53.22969852941174,34.03288676608031,5.185183369115327,16.994237435008706,74.92753617965728,66.4
TRX,47.13575498746026,58.0,49.089228195720004,37.8155478536212,50.006271,50.00032272058823,36.56237963077841,34.51218911064353,40.24300318417956,78.85709820415116,58.0
ZEC,55.15624018709724,49.1,20.0,59.34848600348591,50.0,66.44925735294123,59.29182643894849,54.01317465855168,58.25944515367847,73.88773188917214,49.1
DOGE,39.69398208180143,61.2,48.20247352913531,55.3323336456181,50.022696,49.99734429411765,24.571334147680904,11.68162437626733,17.08891404137581,60.655136620216275,61.2
USDS,67.64176153897714,99.0,50.03796645810247,100.0,49.998526999999996,50.000007647058816,52.712192302510275,59.89516174466431,88.4904371584812,89.999800001,99.0
LINK,36.80942136955886,64.5,3.183524699629176,67.1342460664186,55.477450000000005,49.832073529411765,27.985771141661793,11.665285137407283,8.482735000863915,70.71428538107837,64.5
ADA,35.83954205740916,56.6,45.3643954962033,50.916279556182246,50.035486000000006,49.99494029411764,29.816020604843605,19.606115818194866,10.394851976935152,30.588246712796472,56.6
XLM,38.95391006142092,41.300000000000004,47.83317333681508,44.25556597932426,50.031598,50.0047225,33.60523729377167,22.323145765421923,11.994505494505558,51.58333212152887,41.300000000000004
